impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-114638,A577744,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577744,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Taiga,Cat,2 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Brn Tabby,01/02/2019 12:00:00 AM,Received on,1000 CENTRAL AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577744,Image Copyright HLP Inc. 2019,"Received on: 2019-01-02<p/> Found Near: 1000 CENTRAL AVE N, KENT WA 98032<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS 1 MONTH<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>",GREEN
K19-115209,A579307,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957934,LOST,Oolong/cilla,Cat,,Female,Domestic Shorthair,Unknown,02/01/2019 12:00:00 AM,Date Lost,3800 BROOKLYN AVE NE,SEATTLE,WA,98105,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957934,Image Copyright HLP Inc. 2019,,
K19-115200,A579289,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957747,LOST,Benny,Dog,,Male,Miniature Poodle,Unknown,02/01/2019 12:00:00 AM,Date Lost,MONTLAKE BLVD AND E HAMLIN STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957747,Image Copyright HLP Inc. 2019,,
K19-115079,A578982,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A578982,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sirius,Cat,10 MONTHS,Male,Himalayan,Lynx Pt / White,01/25/2019 12:00:00 AM,Received on,3500 S 146TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578982,Image Copyright HLP Inc. 2019,"Received on: 2019-01-25<p/> Found Near: 3500 S 146TH ST, TUKWILA WA 98168<p/> Description: Lynx Pt / White Male Himalayan Cat<p/> Age: 10 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-115212,A579310,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957947,LOST,Boston,Dog,,Female,Alaskan Malamute,Unknown,02/02/2019 12:00:00 AM,Date Lost,INTERLAKE AVENUE N & N 40TH ST,SEATTLE,WA,98103,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957947,Image Copyright HLP Inc. 2019,,
K18-106401,A551273,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Midnight,Cat,13 YEARS,Spayed Female,Domestic Shorthair,Black,02/03/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551273,Image Copyright HLP Inc. 2019,"Received on: 2018-02-03<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 13 YEARS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Midnight and I am available for adoption.<p/><p/>I was brought in by my previous owner on  2/3/18.<p/><p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/><p/><p/><p/>Adoption Fee: $30.00<p/>",GREEN
K19-115098,A578999,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A578999,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Michael,Rabbit Sh,6 MONTHS,Neutered Male,Rabbit Sh,Gray,01/26/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578999,Image Copyright HLP Inc. 2019,"Received on: 2019-01-26<p/> Description: Gray<p/>  Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Michael and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 1/26/18.<p/><p/>I am only about 7 months old.  I have already been neutered and I am ready to go to my new home!<p/><p/>My personality color is BLUE. I am a gentle and loving bunny who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!  <p/><p/><p/><p/> Adoption Fee: $30<p/>",
K19-114824,A578233,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1951520,In Public Home,,Dog,,Male,Labrador Retriever,Yellow,01/12/2019 12:00:00 AM,Date Found,9400 TEMPLETON AVE SE,SNOQUALMIE,WA,98065,SNOQUALMIE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1951520,Image Copyright HLP Inc. 2019,,
K19-115224,A579334,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1958151,LOST,Googles,Cat,,Male,Domestic Shorthair,Unknown,01/28/2019 12:00:00 AM,Date Lost,108TH AVE S.E AND 116TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1958151,Image Copyright HLP Inc. 2019,,
K19-115182,A579225,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579225,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pocahontas,Dog,5 YEARS,Spayed Female,Pit Bull / Mix,Tan,01/31/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579225,Image Copyright HLP Inc. 2019,"Received on: 2019-01-31<p/> Description: Tan<p/>  Spayed Female Pit Bull / Mix Dog<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Pocahontes and I am available for adoption.<p/><p/>I was transferred in from another shelter on January 31. 2019.<p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to ""sit"" and ""come"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other medium to large dogs. However, I would not be a good fit for a home with cats or small dogs as I tend to enjoy chasing things smaller than me!<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/> Adoption Fee: $100.00<p/>",GREEN
K19-115134,A579087,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579087,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Danni,Cat,8 MONTHS,Spayed Female,Domestic Longhair,Brn Tabby,01/26/2019 12:00:00 AM,Received on,11700 SE 256TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579087,Image Copyright HLP Inc. 2019,"Received on: 2019-01-26<p/> Found Near: 11700 SE 256TH PL, KENT WA 98030<p/> Description: Brn Tabby Spayed Female Domestic Longhair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K17-105331,A547918,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Babette,Cat,18 YEARS 2 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,12/04/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547918,Image Copyright HLP Inc. 2019,"Received on: 2017-12-04<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 18 YEARS 2 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Babette and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/5/17 because the landlord didn't allow cats. I lived in a home with dogs but the were not my favorite. I also lived with other cats and children. My previous owner described me as calm and vocal.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     This animal has been diagnosed as hyperthyroid.  This means that thyroid gland is producing an excess of hormones.  This disease can be easily managed with daily medication, radioactive iodine treatment or prescription diet.  Please follow up with you regular veterinarian to create a treatment plan.  We have also included a handout with more information about this disease.<p/><p/>2)  This animal has been diagnosed with early kidney disease.  This condition can be managed with special diets and medications.  Treatment will be lifelong.  Please follow up with your regular veterinarian for the best treatment plan.  <p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/><p/>Adoption Fee: $30.00<p/>",BLUE
K18-114213,A419454,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A419454,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Zoe,Cat,5 YEARS 8 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,12/07/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A419454,Image Copyright HLP Inc. 2019,"Received on: 2018-12-07<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 5 YEARS 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Zoe and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/07/18 because.  My previous owner described me as shy, loving, playful and an alarm clock.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>Because of my shy nature, I would do best in a calm, quiet adult home.<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Mild weakness and incoordination in the hind end- This cat came in with weakness and inccordination in her hind legs.  She was treated with a week of antiinflammatories and has shown some improvement.  Her signs could be due to intervetebral disc disease (""slipped disc"")  or could be caused by other issues such as a degenerative muscle disease.  She is able to move around normally at this point, but she may be having issues using the litterbox.  Please consult with your regular veterinarian about the best treatment plan for her.<p/><p/>2)  Grade 1/6 heart murmur- A heart murmur was detected on physical examination.  This means there is an abnormal heart sound when we listen to the heart.  In some animals, this can indicate heart disease.  However, other animals can have heart murmurs and never show any symptoms of heart disease.  We recommend that you follow up with your regular veterinarian.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/> Adoption Fee: $30.00<p/>",BLUE
K19-114831,A578238,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1951720,In Public Home,,Dog,,Unaltered,Miniature Poodle,White / White,01/13/2019 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1951720,Image Copyright HLP Inc. 2019,,
K19-115241,A579369,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1958464,LOST,Murphy,Cat,,Male,Domestic Shorthair,Unknown,01/28/2019 12:00:00 AM,Date Lost,26300 185TH AVE SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1958464,Image Copyright HLP Inc. 2019,,
K19-115242,A579370,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1958518,In Public Home,,Dog,,Female,German Shorthaired Pointer,Brown,02/04/2019 12:00:00 AM,Date Found,900 147TH PL NE,BELLEVUE,WA,98007,BELLEVUE,47.618077,-122.145491,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1958518,Image Copyright HLP Inc. 2019,,
K19-115206,A579304,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579304,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tamara,Rabbit Lh,8 YEARS,Spayed Female,Rabbit Lh,Brown / Cream,02/02/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579304,Image Copyright HLP Inc. 2019,"Received on: 2019-02-02<p/> Description: Brown / Cream<p/>  Spayed Female Rabbit Lh Rabbit Lh<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/> Adoption Fee: $30.00<p/>",
K19-115205,A579303,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579303,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tia,Rabbit Lh,8 YEARS,Spayed Female,Rabbit Lh,Brown / Cream,02/02/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579303,Image Copyright HLP Inc. 2019,"Received on: 2019-02-02<p/> Description: Brown / Cream<p/>  Spayed Female Rabbit Lh Rabbit Lh<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/> Adoption Fee: $30.00<p/>",
K19-115243,A579400,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1958789,LOST,Dan,Cat,,Male,Domestic Shorthair,Unknown,01/27/2019 12:00:00 AM,Date Lost,UNIT 412,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1958789,Image Copyright HLP Inc. 2019,,
K19-115247,A579417,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1958938,LOST,Obi,Dog,,Male,Shiba Inu,Unknown,02/05/2019 12:00:00 AM,Date Lost,13900 154TH AVE SE,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1958938,Image Copyright HLP Inc. 2019,,
K19-115248,A579418,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1958969,LOST,Zima,Dog,,Female,Chihuahua - Smooth Coated,Unknown,02/04/2019 12:00:00 AM,Date Lost,1207 S 320TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1958969,Image Copyright HLP Inc. 2019,,
K18-112172,A568632,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Astrid,Cat,2 YEARS 4 MONTHS,Spayed Female,Domestic Shorthair,Black,09/16/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A568632,Image Copyright HLP Inc. 2019,"Received on: 2018-09-16<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS 4 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Astrid and I am available for adoption.<p/><p/>I was transfered from another Animal Control Agency on 09/16/18. <p/><p/>I am a little nervous around people at first but I do warm up.<p/><p/>I am very vocal and have lots of opinions!<p/><p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>Adoption Fee: $30.00<p/>",
K19-115250,A579420,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959049,LOST,Benny,Dog,,Male,Miniature Poodle,Unknown,02/01/2019 12:00:00 AM,Date Lost,E ROANOKE ST AND 24TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959049,Image Copyright HLP Inc. 2019,,
K19-115258,A579444,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959154,LOST,Trigger,Dog,,Male,Pit Bull,Unknown,02/02/2019 12:00:00 AM,Date Lost,20200 SE 24TH ST,SAMMAMISH,WA,98075,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959154,Image Copyright HLP Inc. 2019,,
K19-115259,A579451,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959206,LOST,Shadow,Cat,,Female,Himalayan,Unknown,02/01/2019 12:00:00 AM,Date Lost,230TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959206,Image Copyright HLP Inc. 2019,,
K19-115261,A579456,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959222,LOST,Daisy,Cat,,Female,Domestic Mediumhair,Unknown,02/03/2019 12:00:00 AM,Date Lost,18700 129TH CT NE,BOTHELL,WA,98011,BOTHELL,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959222,Image Copyright HLP Inc. 2019,,
K19-115269,A579470,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959387,LOST,Koko,Dog,,Male,Toy Poodle,Unknown,02/05/2019 12:00:00 AM,Date Lost,UNIT 26,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959387,Image Copyright HLP Inc. 2019,,
K19-114692,A572568,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A572568,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Reece,Dog,6 YEARS 3 MONTHS,Neutered Male,German Shepherd,Black / Tan,01/04/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A572568,Image Copyright HLP Inc. 2019,"Received on: 2019-01-04<p/> Description: Black / Tan<p/>  Neutered Male German Shepherd Dog<p/> Age: 6 YEARS 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Reece and I am available for adoption.<p/><p/>I was brought in on January 4, 2019 because I had a tendancy to get too riled up when playing. I'm very sweet and love to play, but sometimes I forget how big I am!<p/><p/>I'm a sweet guy who is looking for a nice, calm, relaxing home that I can chill out and hang out with my people. BALL IS LIFE! I absolutely love to play fetch, and can literally play ALL DAY LONG! I am a very smart dog! I have shown my caregivers that I already know how to ""sit"" and bring the ball back to my people. My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction. I do have some handling sensitivity when it comes to being pet around my rump and hips but sure do love to be pet on my shoulders and head! <p/><p/>I may be to much for small animals so I should be in a home that has creatures my size or only a little smaller. <p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/> Adoption Fee: $150.00<p/>",RED
K18-113628,A574398,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Charlie,Cat,18 YEARS 3 MONTHS,Neutered Male,Domestic Longhair,Gray / White,11/08/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574398,Image Copyright HLP Inc. 2019,"Received on: 2018-11-08<p/> Description: Gray / White Neutered Male Domestic Longhair Cat<p/> Age: 18 YEARS 3 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Charlie aka Sir Charlie, and I am available for adoption.<p/><p/>I was brought in by my previous owner on November 8th, 2018, because my owner was moving into a home with residents that were allergic to cats. I lived in a home with a rottweiler. My previous owner described me as shy at first but once I get to know you I can be very lovey and snuggley.<p/><p/>I'm a big time sweetie guy who is looking for my forever home, I previously lived in a home that allowed me indoor/outdoor access to 3 acres of backyard and wooded area. I really love to sleep in my persons bed and snuggle with them at night. Take me home and have a best friend for life! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>Adoption Fee: $30.00<p/>",BLUE
K19-115264,A578246,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A578246,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Biscuit,Dog,9 YEARS 10 MONTHS,Neutered Male,Pomeranian,Black,02/06/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578246,Image Copyright HLP Inc. 2019,"Received on: 2019-02-06<p/> Description: Black<p/>  Neutered Male Pomeranian Dog<p/> Age: 9 YEARS 10 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Biscuit and I am available for adoption.<p/><p/>I was brought in by my previous owner on January 13, 2019 because they were unable to have me in the apartment. I lived in a home with other cats/dogs, young/older children. My previous owner described me as outgoing and loving.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other small dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/> Adoption Fee: $100.00<p/>",GREEN
K19-115285,A579517,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959665,LOST,Sierra,Dog,,Female,German Shepherd,Unknown,02/07/2019 12:00:00 AM,Date Lost,H106,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959665,Image Copyright HLP Inc. 2019,,
K19-115080,A577314,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A577314,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bibsy,Cat,2 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Black / White,01/25/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577314,Image Copyright HLP Inc. 2019,"Received on: 2019-01-25<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Bibsy and I am available for adoption.<p/><p/>I was brought in by my previous owner on 1/25/19  because they didn't know how to care for me properly.<p/><p/>My personality color is RED. I am a spirited little cat with a fun-loving personality!  I am very affectionate and love your attention.  When I am being petted for a long time I will give gentle love bites.<p/><p/>I have lots of energy and love to play.  You may think I am calm and shy at first, but once I am comfortable with you, you'll see my true playful self!  I am still a kitten at heart. <p/><p/>My caregivers have noticed that I seem to do okay with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/><p/> Adoption Fee: $30.00<p/>",RED
K19-115193,A579274,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579274,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cranberry,Cat,4 YEARS,Spayed Female,Siamese,Tortie Pt / Lynx Pt,02/01/2019 12:00:00 AM,Received on,24100 200TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579274,Image Copyright HLP Inc. 2019,"Received on: 2019-02-01<p/> Found Near: 24100 200TH AVE SE, MAPLE VALLEY WA 98038<p/> Description: Tortie Pt / Lynx Pt Spayed Female Siamese Cat<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
