Original,Fuzzy
Toxins (Basel),Toxins (Basel)
J Mol Cell Biol,J Mol Cell Biol
J Diabetic Res,J Diabetic Res
BMC Res Notes,BMC Res Notes
Neuropharmacology,Neuropharmacology
Eur J Neurosci,Eur J Neurosci
Precision Oncology,Precision Oncology
Nova Science Publishers,Nova Science Publishers
Eur J Pharm Sci,Eur J Pharm Sci
Journal of Biological Chemistry,Journal of Biological Chemistry
Chemistry,Chemistry
Textbook of Hyperbaric Medicine,Textbook of Hyperbaric Medicine
In Vitro Cell Dev Biol Anim,In Vitro Cell Dev Biol Anim
Platelets,Platelets
Anat Cell Biol,Anat Cell Biol
Environ Sci Pollut Res Int,Environ Sci Pollut Res Int
Mol Ther,Mol Ther
Spine (Phila Pa 1976),Spine (Phila Pa 1976)
J Neurol,J Neurol
Toxicol Mech Methods,Toxicol Mech Methods
Journal of Materials Chemistry,Journal of Materials Chemistry
Meat Sci,Meat Sci
Frontiers in Physiology,Frontiers in Physiology
APL Bioeng,APL Bioeng
BioNanoSci,BioNanoSci
British Journal of Anaesthesia,British Journal of Anaesthesia
Laboratory Investigation,Laboratory Investigation
Mol Cell Proteomics,Mol Cell Proteomics
Proteomics,Proteomics
Mol Biosyst,Mol Biosyst
Stem Cell - Regenerative Medicine,Stem Cell - Regenerative Medicine
Neurogenetics,Neurogenetics
Exosomes and Microvesicles,Exosomes and Microvesicles
Otolaryngol Head Neck Surg,Otolaryngol Head Neck Surg
Biochimica et Biophysica Acta,Biochimica et Biophysica Acta
J Therm Biol,J Therm Biol
Genetic Engineering & Biotechnology News,Genetic Engineering & Biotechnology News
Nanoscale,Nanoscale
Asian Pac J Allergy Immunol,Asian Pac J Allergy Immunol
J Infect Dis.,J Infect Dis.
Vasc. Med,Vasc. Med
BMC Obes,BMC Obes
Br J Nutr,Br J Nutr
Int Immunol,Int Immunol
Acta Oncol,Acta Oncol
Ecotoxicology,Ecotoxicology
Neuromethods,Neuromethods
ACS Biomaterials Science & Engineering,ACS Biomaterials Science & Engineering
J Nucl Med,J Nucl Med
European Journal of Immunology,European Journal of Immunology
Matrix Biol,Matrix Biol
Nano LIFE,Nano LIFE
RNA Biol,RNA Biol
J Appl Physiol (1985),J Appl Physiol (1985)
Transplant Proc,Transplant Proc
Diab Vasc Dis Res,Diab Vasc Dis Res
J Pharm Pharmacol,J Pharm Pharmacol
Front Endocrinol (Lausanne),Front Endocrinol (Lausanne)
Cell Discov,Cell Discov
J Virol,J Virol
Am J Chin Med,Am J Chin Med
Int J Parasitol Drugs Drug Res,Int J Parasitol Drugs Drug Res
Blood Cells Mol Dis,Blood Cells Mol Dis
J Natl Cancer Inst,J Natl Cancer Inst
ACS Omega,ACS Omega
Neurodegener Dis,Neurodegener Dis
FEBS,FEBS
J Biochem Mol Toxicol,J Biochem Mol Toxicol
Nanoscale Res Lett,Nanoscale Res Lett
J Nanosci Nanotechnol,J Nanosci Nanotechnol
Vasc Cell,Vasc Cell
Cell Culture,Cell Culture
Biol Reprod,Biol Reprod
Nature Immunology,Nature Immunology
Ann Neurol,Ann Neurol
Ann Clin Lab Res,Ann Clin Lab Res
Org Lett,Org Lett
Acta Physiol (Oxf),Acta Physiol (Oxf)
Antioxidants and Redox Signaling,Antioxidants and Redox Signaling
Nucleus,Nucleus
BMC Immunol,BMC Immunol
Humana Press,Humana Press
Gynecol Oncol,Gynecol Oncol
Diabetes Metab Syndr Obes,Diabetes Metab Syndr Obes
Pest Manag Sci,Pest Manag Sci
NPJ Syst Biol Appl,NPJ Syst Biol Appl
J Med Food,J Med Food
Cancer Letters,Cancer Letters
Laryngoscope,Laryngoscope
Haematologica,Haematologica
Journal of Lipid Research,Journal of Lipid Research
Eur J Physiol,Eur J Physiol
Neurotoxicol Teratol,Neurotoxicol Teratol
Expert Opin Drug Metab Toxicol,Expert Opin Drug Metab Toxicol
Nephron,Nephron
Mol Plant,Mol Plant
BBA - Molecular Cell Re,BBA - Molecular Cell Re
Oncoimmunology,Oncoimmunology
Science of The Total Environment,Science of The Total Environment
Differentiation,Differentiation
Polymers,Polymers
J Thromb Thrombolysis,J Thromb Thrombolysis
Int J Environ Res Public Health,Int J Environ Res Public Health
Nematology,Nematology
Int J Cancer Ther Oncol.,Int J Cancer Ther Oncol.
Mitochondrial Biology and Experimental Therapeutics,Mitochondrial Biology and Experimental Therapeutics
Physiol Pharma,Physiol Pharma
Communications Biology,Communications Biology
Curr Opin Hematol,Curr Opin Hematol
Drug Deliv Transl Res,Drug Deliv Transl Res
Cancer Microenviron,Cancer Microenviron
Microbiologyopen,Microbiologyopen
Dev Neurosci,Dev Neurosci
BMC Genomics,BMC Genomics
J Comp Physiol B,J Comp Physiol B
Curr Opin Clin Nutr Metab Care,Curr Opin Clin Nutr Metab Care
Anim Nut,Anim Nut
Mol Coll,Mol Coll
Clinical science,Clinical science
Journals of Gerontology,Journals of Gerontology
Curr Eye Res,Curr Eye Res
Immunology & Cell Biology,Immunology & Cell Biology
Cell Death Signaling in Cancer Biology and Treatment,Cell Death Signaling in Cancer Biology and Treatment
Resuscitation,Resuscitation
Cell Biosci,Cell Biosci
Fundam Clin Pharmacol,Fundam Clin Pharmacol
J Hazard Mater,J Hazard Mater
ACS Appl Mater Interfaces.,ACS Appl Mater Interfaces.
Cancers (Basel),Cancers (Basel)
Wiley Interdiscip Rev Syst Biol Med,Wiley Interdiscip Rev Syst Biol Med
Physiology,Physiology
Nutr Metab,Nutr Metab
Toxicol Rep,Toxicol Rep
Toxicology Reports,Toxicology Reports
Reprod Sci,Reprod Sci
Channels (Austin),Channels (Austin)
Prostate,Prostate
J. Electrochem. Soc,J. Electrochem. Soc
Age (Dordr),Age (Dordr)
Viruses,Viruses
J Mol Biol,J Mol Biol
Benef Microbes,Benef Microbes
Hepatol Commun,Hepatol Commun
Chem Rev,Chem Rev
Life Science Alliance,Life Science Alliance
Blood Cancer J,Blood Cancer J
BIOspektrum,BIOspektrum
Nature Reviews Genetics,Nature Reviews Genetics
Nature Reviews Molecular Cell Biology,Nature Reviews Molecular Cell Biology
Cell,Cell
Nature Reviews Cancer,Nature Reviews Cancer
Nature Genetics,Nature Genetics
Nature Methods,Nature Methods
Annual Review of Biochemistry,Annual Review of Biochemistry
Nature Biotechnology,Nature Biotechnology
Nature Medicine,Nature Medicine
Physiological Reviews,Physiological Reviews
Nature Cell Biology,Nature Cell Biology
Molecular Cell,Molecular Cell
Cell Stem Cell,Cell Stem Cell
Annual Review of Cell and Developmental Biology,Annual Review of Cell and Developmental Biology
Genome Biology,Genome Biology
Cancer Cell,Cancer Cell
Annual Review of Plant Biology,Annual Review of Plant Biology
Trends in Cell Biology,Trends in Cell Biology
Genome Research,Genome Research
Cell Metabolism,Cell Metabolism
Nature Structural and Molecular Biology,Nature Structural and Molecular Biology
Journal of Clinical Oncology,Journal of Clinical Oncology
Genes and Development,Genes and Development
Trends in Biochemical Sciences,Trends in Biochemical Sciences
The Lancet Diabetes and Endocrinology,The Lancet Diabetes and Endocrinology
Pharmacological Reviews,Pharmacological Reviews
Annual Review of Physiology,Annual Review of Physiology
Cell Host and Microbe,Cell Host and Microbe
Nucleic Acids Research,Nucleic Acids Research
Annual Review of Genetics,Annual Review of Genetics
Nature Protocols,Nature Protocols
Annual Review of Biophysics,Annual Review of Biophysics
Annual Review of Genomics and Human Genetics,Annual Review of Genomics and Human Genetics
Nature Chemical Biology,Nature Chemical Biology
Molecular Systems Biology,Molecular Systems Biology
Journal of the American Chemical Society,Journal of the American Chemical Society
Journal of Extracellular Vesicles,Journal of Extracellular Vesicles
Annals of the Rheumatic Diseases,Annals of the Rheumatic Diseases
Cell Reports,Cell Reports
Microbiology and Molecular Biology Reviews,Microbiology and Molecular Biology Reviews
Trends in Genetics,Trends in Genetics
Cold Spring Harbor perspectives in biology,Cold Spring Harbor perspectives in biology
American Journal of Human Genetics,American Journal of Human Genetics
Current Opinion in Cell Biology,Current Opinion in Cell Biology
Nano Today,Nano Today
Nature Microbiology,Nature Microbiology
eLife,eLife
EMBO Journal,EMBO Journal
Cell Research,Cell Research
Circulation Research,Circulation Research
Annual Review of Medicine,Annual Review of Medicine
Nature Communications,Nature Communications
Developmental Cell,Developmental Cell
Journal of Cell Biology,Journal of Cell Biology
Blood,Blood
Endocrine Reviews,Endocrine Reviews
Cell Systems,Cell Systems
Molecular Psychiatry,Molecular Psychiatry
Bioinformatics,Bioinformatics
Acta Crystallographica Section A: Foundations and Advances,Acta Crystallographica Section A: Foundations and Advances
PLoS Medicine,PLoS Medicine
Wiley Interdisciplinary Reviews: Computational Molecular Science,Wiley Interdisciplinary Reviews: Computational Molecular Science
Plant Cell,Plant Cell
Journal of the National Cancer Institute,Journal of the National Cancer Institute
Molecular Biology and Evolution,Molecular Biology and Evolution
Nature Reviews Endocrinology,Nature Reviews Endocrinology
EMBO Molecular Medicine,EMBO Molecular Medicine
Systematic Biology,Systematic Biology
Current Opinion in Structural Biology,Current Opinion in Structural Biology
Chem,Chem
Trends in Endocrinology and Metabolism,Trends in Endocrinology and Metabolism
Leukemia,Leukemia
Stem Cell Reports,Stem Cell Reports
Advanced Science,Advanced Science
Critical Reviews in Biochemistry and Molecular Biology,Critical Reviews in Biochemistry and Molecular Biology
Cancer immunology research,Cancer immunology research
PLoS Biology,PLoS Biology
Clinical Cancer Research,Clinical Cancer Research
Biological Reviews,Biological Reviews
Trends in Molecular Medicine,Trends in Molecular Medicine
PLoS Genetics,PLoS Genetics
Current Opinion in Genetics and Development,Current Opinion in Genetics and Development
EMBO Reports,EMBO Reports
Development (Cambridge),Development (Cambridge)
Wellcome Open Research,Wellcome Open Research
Current Protocols in Bioinformatics,Current Protocols in Bioinformatics
Genome Medicine,Genome Medicine
Cell Death and Differentiation,Cell Death and Differentiation
Current Biology,Current Biology
Cancer Research,Cancer Research
Wiley Interdisciplinary Reviews: RNA,Wiley Interdisciplinary Reviews: RNA
Autophagy,Autophagy
Seminars in Cancer Biology,Seminars in Cancer Biology
Neuro-Oncology,Neuro-Oncology
PLoS Pathogens,PLoS Pathogens
Molecular Metabolism,Molecular Metabolism
Drug Resistance Updates,Drug Resistance Updates
Current Opinion in Chemical Biology,Current Opinion in Chemical Biology
Journal of Structural Biology,Journal of Structural Biology
Journal of Pineal Research,Journal of Pineal Research
Aging Cell,Aging Cell
Natural Product Reports,Natural Product Reports
Biochimica et Biophysica Acta - Reviews on Cancer,Biochimica et Biophysica Acta - Reviews on Cancer
BMC Biology,BMC Biology
Small,Small
Progress in Lipid Research,Progress in Lipid Research
Science signaling,Science signaling
Seminars in Cell and Developmental Biology,Seminars in Cell and Developmental Biology
New Phytologist,New Phytologist
Mobile DNA,Mobile DNA
Epigenetics and Chromatin,Epigenetics and Chromatin
Plant Physiology,Plant Physiology
Ageing Research Reviews,Ageing Research Reviews
Current Topics in Developmental Biology,Current Topics in Developmental Biology
Wiley Interdisciplinary Reviews: Developmental Biology,Wiley Interdisciplinary Reviews: Developmental Biology
Plant Journal,Plant Journal
Molecular Plant,Molecular Plant
Human Molecular Genetics,Human Molecular Genetics
Structure,Structure
Trends in Biotechnology,Trends in Biotechnology
Genetics,Genetics
Cell Discovery,Cell Discovery
Cancer,Cancer
Molecular and Cellular Proteomics,Molecular and Cellular Proteomics
Molecular Neurodegeneration,Molecular Neurodegeneration
Journal of Molecular Biology,Journal of Molecular Biology
Cellular and Molecular Life Sciences,Cellular and Molecular Life Sciences
Frontiers in Cell and Developmental Biology,Frontiers in Cell and Developmental Biology
ACS Photonics,ACS Photonics
Molecular Ecology Resources,Molecular Ecology Resources
Metabolic Engineering,Metabolic Engineering
Philosophical Transactions of the Royal Society B: Biological Sciences,Philosophical Transactions of the Royal Society B: Biological Sciences
Journal of Medical Genetics,Journal of Medical Genetics
Molecular Ecology,Molecular Ecology
Quarterly Reviews of Biophysics,Quarterly Reviews of Biophysics
Trends in Cancer,Trends in Cancer
Human Mutation,Human Mutation
Oncogene,Oncogene
mSystems,mSystems
RNA,RNA
IUCrJ,IUCrJ
Current Opinion in Biotechnology,Current Opinion in Biotechnology
DNA Repair,DNA Repair
Matrix Biology,Matrix Biology
Cell Chemical Biology,Cell Chemical Biology
Molecular and Cellular Biology,Molecular and Cellular Biology
International Journal of Cancer,International Journal of Cancer
Molecular Therapy,Molecular Therapy
Biomaterials,Biomaterials
PLoS Computational Biology,PLoS Computational Biology
Thyroid,Thyroid
Comprehensive Physiology,Comprehensive Physiology
Advances in Cancer Research,Advances in Cancer Research
Journal of Molecular Cell Biology,Journal of Molecular Cell Biology
Breast Cancer Research,Breast Cancer Research
Biotechnology Advances,Biotechnology Advances
Cytokine and Growth Factor Reviews,Cytokine and Growth Factor Reviews
Cardiovascular Research,Cardiovascular Research
Small GTPases,Small GTPases
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,Biochimica et Biophysica Acta - Gene Regulatory Mechanisms
European Journal of Cancer,European Journal of Cancer
Traffic,Traffic
Journal of Clinical Endocrinology and Metabolism,Journal of Clinical Endocrinology and Metabolism
Journal of Cell Science,Journal of Cell Science
Molecular Biology of the Cell,Molecular Biology of the Cell
Journals of Gerontology - Series A Biological Sciences and Medical Sciences,Journals of Gerontology - Series A Biological Sciences and Medical Sciences
Nanophotonics,Nanophotonics
Medicinal Research Reviews,Medicinal Research Reviews
EBioMedicine,EBioMedicine
Plant Biotechnology Journal,Plant Biotechnology Journal
British Journal of Cancer,British Journal of Cancer
DNA Research,DNA Research
Cold Spring Harbor perspectives in medicine,Cold Spring Harbor perspectives in medicine
Organic Letters,Organic Letters
"Diabetes, Obesity and Metabolism","Diabetes, Obesity and Metabolism"
Proceedings of the Royal Society B: Biological Sciences,Proceedings of the Royal Society B: Biological Sciences
Journal of Experimental Botany,Journal of Experimental Botany
Molecular Aspects of Medicine,Molecular Aspects of Medicine
Journal for ImmunoTherapy of Cancer,Journal for ImmunoTherapy of Cancer
Stem Cells,Stem Cells
Annual Review of Animal Biosciences,Annual Review of Animal Biosciences
Molecular Cancer,Molecular Cancer
Molecular Cancer Therapeutics,Molecular Cancer Therapeutics
IntraVital,IntraVital
Brain Stimulation,Brain Stimulation
Cells,Cells
Human Genetics,Human Genetics
BioEssays,BioEssays
Progress in Nuclear Magnetic Resonance Spectroscopy,Progress in Nuclear Magnetic Resonance Spectroscopy
Chromosoma,Chromosoma
Evolutionary Applications,Evolutionary Applications
Journal of Biological Chemistry,Journal of Biological Chemistry
"Plant, Cell and Environment","Plant, Cell and Environment"
Circulation. Cardiovascular genetics,Circulation. Cardiovascular genetics
ACS Synthetic Biology,ACS Synthetic Biology
Journal of General Physiology,Journal of General Physiology
RNA Biology,RNA Biology
Advances in Biological Regulation,Advances in Biological Regulation
Antioxidants and Redox Signaling,Antioxidants and Redox Signaling
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids
Journal of Lipid Research,Journal of Lipid Research
Genome Biology and Evolution,Genome Biology and Evolution
ACS Chemical Biology,ACS Chemical Biology
Journal of Medicinal Chemistry,Journal of Medicinal Chemistry
Journal of Molecular and Cellular Cardiology,Journal of Molecular and Cellular Cardiology
"Genomics, Proteomics and Bioinformatics","Genomics, Proteomics and Bioinformatics"
Biomolecules,Biomolecules
Journal of the National Cancer Institute. Monographs,Journal of the National Cancer Institute. Monographs
Cell Death and Disease,Cell Death and Disease
Biochimica et Biophysica Acta - Molecular Cell Research,Biochimica et Biophysica Acta - Molecular Cell Research
Molecular Oncology,Molecular Oncology
Journal of Molecular Diagnostics,Journal of Molecular Diagnostics
Molecular Therapy - Nucleic Acids,Molecular Therapy - Nucleic Acids
Neurobiology of Aging,Neurobiology of Aging
Briefings in Bioinformatics,Briefings in Bioinformatics
Soft Robotics,Soft Robotics
Biochimica et Biophysica Acta - Molecular Basis of Disease,Biochimica et Biophysica Acta - Molecular Basis of Disease
Physiology,Physiology
International Journal of Radiation Oncology Biology Physics,International Journal of Radiation Oncology Biology Physics
npj Genomic Medicine,npj Genomic Medicine
Basic Research in Cardiology,Basic Research in Cardiology
Acta Crystallographica Section D: Structural Biology,Acta Crystallographica Section D: Structural Biology
Cell Division,Cell Division
FASEB Journal,FASEB Journal
Clinical Epigenetics,Clinical Epigenetics
Molecular Cancer Research,Molecular Cancer Research
DMM Disease Models and Mechanisms,DMM Disease Models and Mechanisms
Neurobiology of Stress,Neurobiology of Stress
Cancer and Metastasis Reviews,Cancer and Metastasis Reviews
Journal of Membrane Science,Journal of Membrane Science
Evolution; international journal of organic evolution,Evolution; international journal of organic evolution
Molecular Microbiology,Molecular Microbiology
Molecular Autism,Molecular Autism
Biosensors and Bioelectronics,Biosensors and Bioelectronics
Oncologist,Oncologist
Psychoneuroendocrinology,Psychoneuroendocrinology
Cancer Letters,Cancer Letters
Trends in Food Science and Technology,Trends in Food Science and Technology
Experimental and Molecular Medicine,Experimental and Molecular Medicine
Biochimica et Biophysica Acta - Bioenergetics,Biochimica et Biophysica Acta - Bioenergetics
Plant and Cell Physiology,Plant and Cell Physiology
Methods,Methods
Skeletal Muscle,Skeletal Muscle
Current Protocols in Molecular Biology,Current Protocols in Molecular Biology
Mass Spectrometry Reviews,Mass Spectrometry Reviews
Journal of Hematology and Oncology,Journal of Hematology and Oncology
Protein & Cell,Protein & Cell
Metabolism: Clinical and Experimental,Metabolism: Clinical and Experimental
Journal of Investigative Dermatology,Journal of Investigative Dermatology
Clinical Chemistry,Clinical Chemistry
Epigenetics,Epigenetics
Frontiers in Genetics,Frontiers in Genetics
Cancer Prevention Research,Cancer Prevention Research
Cancers,Cancers
Cell Regeneration,Cell Regeneration
Cold Spring Harbor Symposia on Quantitative Biology,Cold Spring Harbor Symposia on Quantitative Biology
Aging,Aging
Biochemical Journal,Biochemical Journal
Cell Communication and Signaling,Cell Communication and Signaling
Redox Biology,Redox Biology
Free Radical Biology and Medicine,Free Radical Biology and Medicine
Angiogenesis,Angiogenesis
Journal of Molecular Medicine,Journal of Molecular Medicine
Journal of Cell Death,Journal of Cell Death
Lab on a Chip - Miniaturisation for Chemistry and Biology,Lab on a Chip - Miniaturisation for Chemistry and Biology
Briefings in Functional Genomics,Briefings in Functional Genomics
Seminars in Radiation Oncology,Seminars in Radiation Oncology
Prostate Cancer and Prostatic Diseases,Prostate Cancer and Prostatic Diseases
Theoretical and Applied Genetics,Theoretical and Applied Genetics
Current Topis in Membranes,Current Topis in Membranes
Application of Clinical Genetics,Application of Clinical Genetics
Frontiers in Synaptic Neuroscience,Frontiers in Synaptic Neuroscience
American Journal of Physiology - Endocrinology and Metabolism,American Journal of Physiology - Endocrinology and Metabolism
Biometrics,Biometrics
Carcinogenesis,Carcinogenesis
Neoplasia,Neoplasia
Frontiers in Molecular Neuroscience,Frontiers in Molecular Neuroscience
Pigment Cell and Melanoma Research,Pigment Cell and Melanoma Research
Endocrine-Related Cancer,Endocrine-Related Cancer
Heredity,Heredity
BMC Genomics,BMC Genomics
Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences
Neurogastroenterology and Motility,Neurogastroenterology and Motility
Reviews in Endocrine and Metabolic Disorders,Reviews in Endocrine and Metabolic Disorders
Molecular Phylogenetics and Evolution,Molecular Phylogenetics and Evolution
Developmental Biology,Developmental Biology
Immunology and Cell Biology,Immunology and Cell Biology
Nucleus,Nucleus
Open Biology,Open Biology
Molecular Pharmacology,Molecular Pharmacology
Breast Cancer Research and Treatment,Breast Cancer Research and Treatment
EvoDevo,EvoDevo
Obesity,Obesity
FEBS Journal,FEBS Journal
Journal of Physiology,Journal of Physiology
Wiley Interdisciplinary Reviews: Membrane Transport and Signaling,Wiley Interdisciplinary Reviews: Membrane Transport and Signaling
Genes and Diseases,Genes and Diseases
Journal of Leukocyte Biology,Journal of Leukocyte Biology
Critical Reviews in Clinical Laboratory Sciences,Critical Reviews in Clinical Laboratory Sciences
mSphere,mSphere
Frontiers in Oncology,Frontiers in Oncology
Biomolecular Detection and Quantification,Biomolecular Detection and Quantification
Cell Calcium,Cell Calcium
Journal of Experimental and Clinical Cancer Research,Journal of Experimental and Clinical Cancer Research
Journal of Endocrinology,Journal of Endocrinology
FEBS Letters,FEBS Letters
Age and Ageing,Age and Ageing
Journal of Neurochemistry,Journal of Neurochemistry
International Review of Cell and Molecular Biology,International Review of Cell and Molecular Biology
Acta Biomaterialia,Acta Biomaterialia
Biophysical Journal,Biophysical Journal
Molecular Plant-Microbe Interactions,Molecular Plant-Microbe Interactions
Molecular Plant Pathology,Molecular Plant Pathology
Molecular Endocrinology,Molecular Endocrinology
Oral Oncology,Oral Oncology
Insect Biochemistry and Molecular Biology,Insect Biochemistry and Molecular Biology
Cell Adhesion and Migration,Cell Adhesion and Migration
Biology of Sex Differences,Biology of Sex Differences
Oncogenesis,Oncogenesis
"Cancer Immunology, Immunotherapy","Cancer Immunology, Immunotherapy"
Biotechnology for Biofuels,Biotechnology for Biofuels
Cancer Journal,Cancer Journal
European Journal of Endocrinology,European Journal of Endocrinology
International Journal of Cell Biology,International Journal of Cell Biology
Plant Methods,Plant Methods
Journal of Bacteriology,Journal of Bacteriology
Laboratory Investigation,Laboratory Investigation
Endocrinology,Endocrinology
Vaccine,Vaccine
Current Opinion in Lipidology,Current Opinion in Lipidology
American Journal of Physiology - Lung Cellular and Molecular Physiology,American Journal of Physiology - Lung Cellular and Molecular Physiology
European Journal of Human Genetics,European Journal of Human Genetics
Mutation Research - Reviews in Mutation Research,Mutation Research - Reviews in Mutation Research
Biochemical Pharmacology,Biochemical Pharmacology
Genes Chromosomes and Cancer,Genes Chromosomes and Cancer
Frontiers in Molecular Biosciences,Frontiers in Molecular Biosciences
American Journal of Physiology - Gastrointestinal and Liver Physiology,American Journal of Physiology - Gastrointestinal and Liver Physiology
Genes,Genes
Conservation Physiology,Conservation Physiology
Journal of Proteome Research,Journal of Proteome Research
npj Biofilms and Microbiomes,npj Biofilms and Microbiomes
Microbiology spectrum,Microbiology spectrum
Chemical Record,Chemical Record
Gastric Cancer,Gastric Cancer
Investigative Genetics,Investigative Genetics
American Journal of Physiology - Cell Physiology,American Journal of Physiology - Cell Physiology
Diabetes/Metabolism Research and Reviews,Diabetes/Metabolism Research and Reviews
Molecular Brain,Molecular Brain
Bioconjugate Chemistry,Bioconjugate Chemistry
Cellular Signalling,Cellular Signalling
Nucleic Acid Therapeutics,Nucleic Acid Therapeutics
Database : the journal of biological databases and curation,Database : the journal of biological databases and curation
Advances and Applications in Bioinformatics and Chemistry,Advances and Applications in Bioinformatics and Chemistry
Journal of Integrative Plant Biology,Journal of Integrative Plant Biology
Polymer Chemistry,Polymer Chemistry
"Genes, Brain and Behavior","Genes, Brain and Behavior"
Biochemical Society Transactions,Biochemical Society Transactions
Epigenomics,Epigenomics
Best Practice and Research in Clinical Endocrinology and Metabolism,Best Practice and Research in Clinical Endocrinology and Metabolism
Human Gene Therapy,Human Gene Therapy
European Journal of Cell Biology,European Journal of Cell Biology
"G3: Genes, Genomes, Genetics","G3: Genes, Genomes, Genetics"
Lung Cancer,Lung Cancer
"Genetics, Selection, Evolution","Genetics, Selection, Evolution"
Cancer Science,Cancer Science
Aging and Disease,Aging and Disease
"Nanomedicine: Nanotechnology, Biology, and Medicine","Nanomedicine: Nanotechnology, Biology, and Medicine"
Plant Molecular Biology,Plant Molecular Biology
Diabetes Technology and Therapeutics,Diabetes Technology and Therapeutics
Journal of Hypertension,Journal of Hypertension
ILAR Journal,ILAR Journal
Current Protocols in Human Genetics,Current Protocols in Human Genetics
Progress in Histochemistry and Cytochemistry,Progress in Histochemistry and Cytochemistry
Plant Genome,Plant Genome
American Journal of Physiology - Renal Physiology,American Journal of Physiology - Renal Physiology
Journal of the Royal Society Interface,Journal of the Royal Society Interface
Stem cells translational medicine,Stem cells translational medicine
Tissue Barriers,Tissue Barriers
Genesis,Genesis
Horticulture Research,Horticulture Research
Cell Cycle,Cell Cycle
Biology Direct,Biology Direct
BMC Medical Genomics,BMC Medical Genomics
Genomics,Genomics
Progress in Molecular Biology and Translational Science,Progress in Molecular Biology and Translational Science
International Journal of Biological Sciences,International Journal of Biological Sciences
Biochemistry,Biochemistry
Stem Cell Research and Therapy,Stem Cell Research and Therapy
Applied and Environmental Microbiology,Applied and Environmental Microbiology
American Journal of Medical Genetics - Seminars in Medical Genetics,American Journal of Medical Genetics - Seminars in Medical Genetics
Journal of Nutritional Biochemistry,Journal of Nutritional Biochemistry
Cancer Biology and Medicine,Cancer Biology and Medicine
Transcription,Transcription
Biochimica et Biophysica Acta - General Subjects,Biochimica et Biophysica Acta - General Subjects
Journal of Inherited Metabolic Disease,Journal of Inherited Metabolic Disease
Plant Science,Plant Science
Molecular Nutrition and Food Research,Molecular Nutrition and Food Research
Mitochondrion,Mitochondrion
Molecular and Cellular Neurosciences,Molecular and Cellular Neurosciences
Psychology and Aging,Psychology and Aging
Bone,Bone
Protein Science,Protein Science
Journal of Neurophysiology,Journal of Neurophysiology
Translational Oncogenomics,Translational Oncogenomics
Expert Reviews in Molecular Medicine,Expert Reviews in Molecular Medicine
Mammalian Genome,Mammalian Genome
Journal of Cellular and Molecular Medicine,Journal of Cellular and Molecular Medicine
Forensic Science International: Genetics,Forensic Science International: Genetics
Biofabrication,Biofabrication
Molecular Genetics and Metabolism,Molecular Genetics and Metabolism
Cytoskeleton,Cytoskeleton
Journal of Cellular Physiology,Journal of Cellular Physiology
Hormones and Behavior,Hormones and Behavior
Frontiers in Aging Neuroscience,Frontiers in Aging Neuroscience
Journal of Applied Crystallography,Journal of Applied Crystallography
Molecular and Cellular Endocrinology,Molecular and Cellular Endocrinology
Diabetic Medicine,Diabetic Medicine
Life,Life
Journal of Biological Rhythms,Journal of Biological Rhythms
Molecular Human Reproduction,Molecular Human Reproduction
Psychophysiology,Psychophysiology
Audiology and Neurotology Extra,Audiology and Neurotology Extra
Fungal Genetics and Biology,Fungal Genetics and Biology
Journal of Experimental Biology,Journal of Experimental Biology
American Journal of Physiology - Heart and Circulatory Physiology,American Journal of Physiology - Heart and Circulatory Physiology
Environmental Research,Environmental Research
Eukaryotic Cell,Eukaryotic Cell
Clinical Lung Cancer,Clinical Lung Cancer
Expert Opinion on Therapeutic Targets,Expert Opinion on Therapeutic Targets
Plant Reproduction,Plant Reproduction
Journal of Molecular Endocrinology,Journal of Molecular Endocrinology
Bioarchitecture,Bioarchitecture
Neurogenetics,Neurogenetics
Tissue Engineering - Part B: Reviews,Tissue Engineering - Part B: Reviews
Frontiers in Physiology,Frontiers in Physiology
Stem Cells and Cloning: Advances and Applications,Stem Cells and Cloning: Advances and Applications
Acta Diabetologica,Acta Diabetologica
Journal of Pharmacology and Experimental Therapeutics,Journal of Pharmacology and Experimental Therapeutics
Experimental Cell Research,Experimental Cell Research
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,Wiley Interdisciplinary Reviews: Systems Biology and Medicine
Cancer Causes and Control,Cancer Causes and Control
Molecular Pharmaceutics,Molecular Pharmaceutics
Handbook of Experimental Pharmacology,Handbook of Experimental Pharmacology
Frontiers in Bioengineering and Biotechnology,Frontiers in Bioengineering and Biotechnology
Journal of Translational Medicine,Journal of Translational Medicine
Biological Chemistry,Biological Chemistry
Advances in Clinical Chemistry,Advances in Clinical Chemistry
Cellular Physiology and Biochemistry,Cellular Physiology and Biochemistry
Oxidative Medicine and Cellular Longevity,Oxidative Medicine and Cellular Longevity
Cytometry Part A,Cytometry Part A
Molecular Medicine,Molecular Medicine
Current Genetics,Current Genetics
Journal of Neuroendocrinology,Journal of Neuroendocrinology
Biochimie,Biochimie
Cancer Epidemiology,Cancer Epidemiology
Expert Review of Vaccines,Expert Review of Vaccines
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,American Journal of Physiology - Regulatory Integrative and Comparative Physiology
